followers_count,following_count,post_count,bio_length,default_profile_image,has_bg_image,verified,account_age_days,follower_following_ratio,label,username_num_ratio
1247.0,248.0,734.0,48,0,0,0,988.0,5.008032128514056,0,
2693.0,1059.0,61.0,55,0,0,0,672.0,2.540566037735849,0,
1501.0,1419.0,681.0,59,0,1,0,1007.0,1.0570422535211268,0,
2010.0,1429.0,44.0,30,0,1,0,523.0,1.4055944055944056,0,
446.0,21.0,9.0,101,1,1,0,620.0,20.272727272727273,1,
2782.0,1068.0,213.0,53,0,1,0,2674.0,2.6024321796071095,0,
1177.0,1464.0,754.0,31,1,0,0,1914.0,0.8034129692832764,0,
2375.0,276.0,165.0,48,0,0,0,2371.0,8.574007220216606,0,
2846.0,307.0,148.0,82,0,1,0,-572.0,9.24025974025974,0,
450.0,1091.0,74.0,53,0,1,0,558.0,0.41208791208791207,0,
2024.0,428.0,402.0,70,0,1,0,2987.0,4.717948717948718,0,
2645.0,349.0,253.0,84,0,1,0,1933.0,7.557142857142857,0,
2944.0,520.0,746.0,62,1,0,0,2680.0,5.65067178502879,0,
943.0,961.0,338.0,25,0,1,0,1484.0,0.9802494802494802,0,
440.0,889.0,569.0,93,1,1,0,-545.0,0.4943820224719101,0,
382.0,415.0,18.0,76,0,0,0,430.0,0.9182692307692307,1,
2665.0,1136.0,142.0,26,1,1,0,775.0,2.3438874230430957,0,
449.0,290.0,21.0,83,0,0,0,279.0,1.5429553264604812,1,
284.0,475.0,8.0,44,0,1,0,548.0,0.5966386554621849,1,
119.0,344.0,7.0,37,0,1,0,283.0,0.34492753623188405,1,
459.0,456.0,46.0,65,0,0,0,-520.0,1.0043763676148796,1,
367.0,310.0,41.0,34,0,0,0,-185.0,1.180064308681672,1,
171.0,328.0,37.0,103,0,1,0,346.0,0.5197568389057751,1,
457.0,731.0,408.0,64,1,0,0,254.0,0.6243169398907104,0,
1122.0,130.0,331.0,35,1,1,0,274.0,8.564885496183207,0,
2432.0,775.0,740.0,75,1,0,0,1147.0,3.134020618556701,0,
1072.0,592.0,314.0,64,1,1,0,425.0,1.8077571669477235,0,
36.0,59.0,34.0,71,0,0,0,2443.0,0.6,1,
794.0,356.0,710.0,78,1,1,0,1649.0,2.224089635854342,0,
364.0,101.0,12.0,72,1,1,0,-657.0,3.5686274509803924,1,
840.0,643.0,687.0,52,1,1,0,-449.0,1.3043478260869565,0,
912.0,975.0,322.0,63,1,1,0,601.0,0.9344262295081968,0,
235.0,471.0,26.0,57,0,0,0,2788.0,0.4978813559322034,1,
56.0,951.0,7.0,41,0,1,0,2266.0,0.058823529411764705,0,
289.0,300.0,37.0,39,0,1,0,908.0,0.9601328903654485,1,
1778.0,443.0,605.0,81,1,0,0,723.0,4.004504504504505,0,
847.0,1246.0,670.0,59,0,1,0,907.0,0.6792301523656776,0,
2741.0,1132.0,39.0,96,1,1,0,2466.0,2.4192409532215358,0,
244.0,266.0,19.0,50,0,0,0,881.0,0.9138576779026217,1,
66.0,149.0,30.0,79,0,0,0,-338.0,0.44,1,
205.0,325.0,32.0,111,1,0,0,952.0,0.6288343558282209,1,
63.0,1459.0,18.0,50,1,0,0,2856.0,0.04315068493150685,0,
1326.0,494.0,633.0,104,0,0,0,2254.0,2.6787878787878787,0,
1927.0,1481.0,159.0,22,0,1,0,1398.0,1.3002699055330633,0,
2864.0,1441.0,426.0,12,1,1,0,2412.0,1.986130374479889,0,
135.0,1358.0,20.0,88,0,0,0,-562.0,0.09933774834437085,0,
144.0,1116.0,268.0,67,0,1,0,-620.0,0.12891674127126232,0,
1552.0,367.0,171.0,28,0,0,0,2646.0,4.217391304347826,0,
1394.0,764.0,23.0,62,0,0,0,-87.0,1.8222222222222222,0,
1093.0,220.0,223.0,55,1,0,0,2613.0,4.9457013574660635,1,
182.0,381.0,16.0,46,0,1,0,1190.0,0.47643979057591623,1,
941.0,690.0,403.0,69,1,0,0,2721.0,1.361794500723589,0,
227.0,85.0,50.0,84,0,1,0,1342.0,2.63953488372093,1,
555.0,475.0,68.0,94,1,0,0,2813.0,1.165966386554622,0,
2114.0,560.0,430.0,54,1,0,0,-24.0,3.768270944741533,0,
487.0,342.0,41.0,105,1,0,0,-547.0,1.4198250728862973,1,
63.0,278.0,47.0,31,1,0,0,5.0,0.22580645161290322,1,
811.0,290.0,355.0,110,1,0,0,-79.0,2.7869415807560136,0,
352.0,401.0,0.0,87,0,0,0,2068.0,0.8756218905472637,1,
97.0,50.0,30.0,67,1,1,0,328.0,1.9019607843137254,1,
2600.0,960.0,783.0,59,1,1,0,2806.0,2.705515088449532,0,
2526.0,1304.0,146.0,66,0,0,0,1015.0,1.935632183908046,0,
1190.0,1182.0,752.0,63,0,1,0,-157.0,1.0059171597633136,0,
1700.0,593.0,372.0,79,0,1,0,868.0,2.861952861952862,0,
761.0,710.0,570.0,73,0,0,0,1275.0,1.070323488045007,0,
612.0,1269.0,134.0,44,0,0,0,1445.0,0.4818897637795276,0,
162.0,453.0,36.0,81,0,1,0,1245.0,0.3568281938325991,1,
1797.0,654.0,121.0,45,1,1,0,2510.0,2.7435114503816793,0,
828.0,197.0,18.0,28,1,0,0,-282.0,4.181818181818182,0,
2927.0,98.0,543.0,30,1,0,0,-37.0,29.565656565656564,0,
1757.0,1063.0,535.0,83,0,1,0,2425.0,1.6513157894736843,0,
2163.0,757.0,452.0,57,1,0,0,1382.0,2.8535620052770447,0,
2307.0,1311.0,459.0,52,1,1,0,27.0,1.7583841463414633,0,
841.0,1490.0,78.0,65,1,0,0,1003.0,0.5640509725016767,0,
443.0,285.0,1.0,36,0,1,0,2846.0,1.548951048951049,1,
18.0,1398.0,17.0,79,1,1,0,5.0,0.012866333095067906,0,
946.0,646.0,240.0,38,0,1,0,2406.0,1.4621329211746523,0,
2476.0,463.0,283.0,28,1,0,1,1175.0,5.336206896551724,0,
39.0,876.0,10.0,30,1,0,0,237.0,0.04446978335233751,0,
2013.0,1242.0,363.0,32,1,1,0,2776.0,1.6194690265486726,0,
98.0,247.0,25.0,25,1,0,0,1225.0,0.3951612903225806,1,
788.0,246.0,430.0,64,1,1,0,42.0,3.1902834008097165,0,
1282.0,691.0,16.0,109,1,0,0,2637.0,1.8526011560693643,0,
467.0,391.0,39.0,16,1,1,0,1010.0,1.191326530612245,1,
26.0,22.0,46.0,80,1,1,0,-359.0,1.1304347826086956,1,
1445.0,1305.0,656.0,56,1,0,0,2862.0,1.1064318529862174,0,
98.0,300.0,3.0,50,1,1,0,507.0,0.32558139534883723,1,
107.0,1251.0,16.0,75,1,1,0,1040.0,0.08546325878594249,0,
885.0,1454.0,614.0,90,0,0,0,137.0,0.6082474226804123,0,
1504.0,876.0,660.0,58,0,1,0,1946.0,1.7149372862029646,0,
1763.0,1483.0,131.0,94,1,0,0,-3.0,1.1880053908355794,0,
895.0,476.0,359.0,28,0,0,0,1193.0,1.8763102725366876,0,
144.0,861.0,8.0,68,0,0,0,2026.0,0.16705336426914152,0,
390.0,270.0,36.0,54,0,1,0,828.0,1.4391143911439115,1,
1548.0,416.0,393.0,59,1,0,0,2745.0,3.712230215827338,0,
898.0,766.0,343.0,34,0,1,0,1833.0,1.1707953063885268,0,
2576.0,741.0,409.0,77,1,0,0,-246.0,3.4716981132075473,0,
